stage,Endothelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,1.41,0,0
21Day,0,0,0,0,0.37,0,0,0,1.11,0,0
22Month,0.14,0.14,3.14,0.14,0,0.27,0.14,0.14,0,0.14,0.27
