stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,4.23,0,0.28,0,0,0,1.41,0.56,0,0,0,0,0.28,0.28,0.28,0,0
21Day,1.11,0,0,0,0,0.37,0,0,0.74,0,0,0,0,0,1.48,0.37,0,0,0,0,0.74,0,0,0,0
3Month,10.19,0.42,0.31,1.35,0.42,0,0.52,0.1,0.42,2.91,0.21,0.1,0.21,2.18,0.1,0,0.1,0.1,0.1,2.39,0.1,0,0.1,2.7,0.21
22Month,0.55,0.14,0.55,3.55,0.41,0,0.41,0,0,0.41,0.14,0,0,0,0.14,0,0.14,0,0,0.14,0.14,0,0,0,0.14
