stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,5,33,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.56,0,0,0,0,0,0.28,0,0,0,0,0,1.13,1.69,1.97,0.85,0,0,0,0,41.43,16.63,0.85,1.13,0,0,0.85,0,3.38,0,0,0
21Day,0.74,0,0,2.59,0.37,0.74,0,0,0,0,0,0,0.74,0,0,0,0.37,3.33,1.85,0.37,0,0,0.74,23.31,11.1,2.59,0.37,1.85,0,1.11,0,2.59,0,0,0
3Month,0,0.21,0.1,1.87,0,0,0.1,0,0.73,5.41,0,4.68,2.7,0.1,1.35,1.14,0.94,2.7,0.73,0.21,0,0.31,0.73,0.1,0,1.04,0,0.31,2.39,0.1,0,0,0.31,4.16,0.62
22Month,0.41,0.82,0.14,2.19,0,0,0.27,0.14,0.55,7.38,0.55,20.63,5.19,0.41,3.42,0.14,0.27,4.24,2.05,0.14,0.55,0.41,0,0.41,0,2.32,0,0.14,0.14,0.68,0.14,0,0.27,0,0.55
