stage,Epithelial_cell,Granulosa_cell,Hepatocyte,Macrophage,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,1.41,0,0,3.1,0,0
21Day,0,0,0,0.37,0,0,0,2.96,0,0.37
3Month,0,0,0.21,0,0.1,0.21,0.21,0,0.52,0.1
22Month,0.14,0.14,0.96,0.14,0,0,0,0.27,0,0
