stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,10,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,6,0,0,0,0,0,0,0,0
72hpf,0,0,4.51,0.56,0,0,0,0,0,0,0,1.41,12.4,0,0.85,0,0,0,1.13,0.85,0,1.41,0,0,0,0,0,0
21Day,0,0,7.03,0,0,0,0,0,0,0,0.37,0,10.36,0,1.11,0,0,0,0.37,1.11,0,1.48,1.11,0,0,0,0,0
3Month,0.1,0.62,11.86,0,0,2.29,0.52,0,30.06,0.73,5.62,0.21,1.56,0.21,0.73,0.1,0.31,1.35,0.1,0.1,0.62,0,0.73,0.1,0.1,0.1,0.1,0.21
22Month,1.09,1.5,12.57,0,0.14,2.19,0.55,0.14,22.96,0.14,9.98,0,0.82,0.82,1.23,2.19,0.14,0.14,0,0,0.41,0,0,0,0.14,0.14,0,0.14
