stage,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0
21Day,1.11,0.37,0,0,0.37,1.11,0.37,4.44,0,0.37,0,0.74,0,0.37
3Month,0.21,0,0.52,0.42,0,0.1,0,0.73,0.21,0,0.1,0,0.1,0
22Month,0,0,0.41,0,0,0,0,0.14,0.14,0,0,0,0,0
