stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,3,0,0,83,2,0,0,2
72hpf,0.28,0.28,0.28,0,0,0,0.28,0,0.28,0.85,1.69,0.56,0,0.28,33.26,1.69,0.28,0.56,24.24
21Day,0.37,0.74,1.48,0.37,0,0,0,0,0,0.74,0,1.11,0,0,2.96,0,0,0.74,4.81
3Month,0,0.1,0,0,0.31,0.1,0,0,0.1,0,0.52,0.21,0.1,0,0.31,0,0,0,0.62
22Month,0,0,0,0,0.41,0.27,0,0.27,0,0,0,0.27,0,0,0,0,0,0,0
