stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,1,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,5.92,0,0,0,0,0,0.56,0,0,0,0.28,0,0
21Day,0,4.81,0,0,0,0,0,0.37,0,4.07,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,5.1,0,0,0,0.1,0.1,0,0.73,0,0,0.1,0,0,4.16,0.21,0,0,0.1,0,0,0
22Month,0.27,1.5,0.14,0.82,0.55,3.28,0.27,0.14,0.27,0.14,0.27,0.55,0.14,0.14,0,0.14,0,22,0,0.14,0.14,0.14
