stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,12,0,0,0,0,0,0,1,0,0,0
72hpf,1.13,0,1.13,0,0.56,0,0,0,0,0,0,0,0,0.56,4.51,0.28,4.23,6.48,1.41,0,3.95,0,1.41,0,0,0.56,0,0,0
21Day,1.48,0,13.32,0.37,10.73,7.77,0.37,0.74,0,0.74,0.37,2.59,0.37,0,5.18,2.22,3.7,2.59,1.85,0.37,2.22,0,0.37,0,0.37,0.37,0,0,2.59
3Month,0,0.1,1.46,0,0,0.1,0,1.04,0,0.83,0.21,0.1,0.62,0.1,0.1,0.1,0.1,0.1,0,0,0,1.14,0,0,0,0,0.1,0.21,0.94
22Month,0,0.14,0.68,0,0,0,0,0,0.14,2.32,0,0,0.68,0,0.14,0.68,0.27,0,0,0.14,0,0,0.14,0.14,0,0,0,0,0
