stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,15,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,1.13,0,0,0,0,0,0,0,0,0.28,0,0,0,0.28,0,0.85,1.97,0,0,0,0,0,0.56,0,0,0
21Day,2.22,0,4.81,3.33,0,0,0,0,0.74,0,0.37,1.48,0,0.74,0,0,0,0.37,0.74,0,0.37,0.37,0,0,0,0.37,0,0.37
3Month,0.1,0,4.78,19.45,0.1,0,1.14,0.52,0,0.62,0.1,0.1,0,0.21,0.1,0,0.1,0.1,0,0.1,0.1,0,0.1,1.87,0.1,0,0.83,0.31
22Month,0,0.14,0.96,5.88,0.27,0,4.1,0,0.27,0.55,0,0,0.27,0.55,0,0,0.14,0,0,0.27,0.14,0,0,0.41,0,0,0,0
