stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0.28,0,0,0,1.13,0,0,0,0,0,0,0,0,0.28,0,0,0
21Day,0,0.37,0.37,1.11,1.11,0,0,0,0.74,0,0,2.96,0,0,1.11,1.48,0.37,0,0,0,1.48,0,0.74,0,0.74,1.11,0,0,0,0.74,0,0,10.73
3Month,0,0,1.66,0.52,0,0.31,0.1,0.31,1.04,1.77,0.94,1.56,0.21,0.1,0.42,2.81,1.46,0.21,0.21,0.1,0.1,0.1,0.83,0.1,0,0.52,2.18,0.1,0,0,0.21,0.83,41.4
22Month,0.14,0,0.68,0.27,0,0.14,0,0.14,0.82,1.91,0.55,0.27,0.27,0,0.14,2.05,1.23,0,0.14,0,0.14,0,0.55,0,0,0.14,0.68,0,0.27,0,0,0,8.06
