stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0.28,0,0,0,0,0,0,0.28,0,0,0.28,0,23.39,1.69,0,0.28,0,0,0.28,0,0,0,0
21Day,0.37,0,0,0,0.74,0,0,0,0,0,0,0,0.37,0,1.11,0,14.43,0,0,0,0.37,0,0,0.37,0.37,0,0
3Month,0,0.21,0.1,0.94,0,0.31,0.1,3.54,0.31,0,0.83,0.1,0.21,0,0.1,0.31,0.31,0,0.31,0.1,0.21,0.83,0,0,0,0.52,0.21
22Month,0,0,0,0,0,0,0,0.27,0,0.14,0,0,0,0.14,0,0,0,0,0,0,0,0.27,0,0,0,0,0
