stage,Endothelial.cell,Epithelial.cell,Granulocyte,Hepatocyte,Immune.cell,Intestinal.bulb.cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal.cell,Mesenchymal.cell..caudal.fin.,Muscle.cell,Neural.cell,Osteoblast,Smooth.muscle.cell,T.cell
72hpf,0,0,0,0,0,0,0.563696112006446,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0.369986860264282,1.10996058079285,0,0,0,0.369986860264282,0,0,0,0.369986860264282,0.369986860264282,0,0.369986860264282
3Month,0.104017006644673,0.208034013289345,0.208034013289345,0.312051019934018,7.48922447841643,0.208034013289345,0.312051019934018,0.208034013289345,0.416068026578691,0.208034013289345,0.104017006644673,0.312051019934018,0,0,0.104017006644673,0.416068026578691
22Month,0,0,0,0.136649431988133,0.136649431988133,0,0,0,0,0,0,0,0,0,0,0
