stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0.37,0.37,0,0,0.37,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,1.04,3.95,0.31,0,8.01,0.1,4.06,0.52,0,31.73,0.31,0.21,0,0,0,2.81,0.42,0,0.52,0,0.21,0.21,0.21,0.21,0.21
22Month,0.14,1.09,0.82,0,0.14,1.23,0,4.1,0.14,0.14,21.18,0,0,0.27,0.27,0.14,0.41,0.14,0,0,0.14,0,0,0,0,0.27
