stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,4.81,0.37,0,0,0,0,0,0,0,0,0.37,2.22,0.74,0,0,2.22,0,0,0,0,0,0,0,0,0,0,0
3Month,0.1,0,14.04,0,0,0.52,0.52,0,2.5,0.73,1.46,0.42,0.83,0.52,0.73,0.42,0,91.74,0.21,0.1,0,0.1,0.31,1.14,0.31,0.1,0.21,0.1,0.21
22Month,0.41,0.14,7.65,0,0.14,0.68,0.27,0.14,5.33,0.14,1.09,0,0,0.14,0.55,0,0.14,58.49,0,0,0.14,0,0,1.23,0,0,0.14,0,0
