stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Macrophage,Neural_cell,Primordial_germ_cell
24hpf,1,0,0,0,0,0
72hpf,0,0,0,0,0.56,0
21Day,0,0.37,0,0,0,0
3Month,0,0,0.1,0,0,0
22Month,0,0,0.41,0.14,0,0.14
