stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Retinal_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
72hpf,0,0.56,0.28,0,0,0,0,0,0,0.28,0.28,0.28,0.56,0,2.82,1.41,0,0.85,0,0,0
21Day,0.37,0,0,0,0.37,0,0,0,0,0,0,0,0,0.37,0.37,0,0,0,0,0,0
3Month,0,0.62,0,0.1,0,0.1,0.1,0.21,0.21,0,0,0,0.1,0,0,0,0.1,0,0,0.1,0.42
22Month,0,0,0,0,0.14,0,0,0.68,0,0,0,0.41,0,0,0,0,0,0,0.14,0,0
