stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0.28,0.28,0,0,0,0,0,0.56,0,0,0.28,15.78,0.28,0.28,0,0.28,0,0,1.41,0.28,0,0,0
21Day,0.37,0,1.11,0,0,0,0.37,0,0.37,0.37,0,0,14.43,0.37,0,0.74,0,0,0,0.37,0,0,0,0
3Month,0,0.1,0,0.1,0.21,0.73,0,0.1,0,0,0,0,0,0.1,0.1,0.1,0,0.21,0.1,0,0,0.21,0.1,0.1
22Month,0,0,0,0,0.27,2.6,0.27,0,0,0.14,0.41,0,0,0,0,0,0,0.14,0,0,0,0,0,0
