stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0,0.28,1.97,0,1.13,0.28,0,0,8.17,0.85,0.85,0,0,0,0
21Day,1.11,0,1.85,0,0,0,0,0,0,0,2.22,0,4.44,0,0.37,0,4.44,0.37,2.96,0.37,0,0,0
3Month,0,0.1,0.52,0.1,0.1,0.1,0.21,0.1,0.52,0.1,0,0.21,0,0,0,0.1,0,0,0,0,0.1,0.1,0.1
22Month,0,0,0,0,0,0.27,0.14,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0
