stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0
72hpf,12.97,0,0,0.85,3.1,0.28,0,0,0,0,0,0,0,0,0,0,1.41,0,7.05,0,63.13,1.97,0,11.56,0,0,0.56,0.56,0,0
21Day,2.59,0,0,2.22,3.33,0.37,0,0,0,0,0,0,0,0.37,0.37,0,0,0,16.65,0.74,12.21,1.11,0,8.51,0.74,0,0,0,0,0
3Month,0.31,0,0.1,0.42,0.42,0,0.1,0.1,0.1,0,0,2.91,0.52,0,0.31,0.1,0.62,0.31,0.94,0.1,0.1,0,0.31,0.31,0,0.62,0.1,0,0.1,0.52
22Month,0.41,0.27,0,0.41,0,0,0,0.14,0.41,0.14,0,10.25,0.14,0,0.27,0,0.14,0.27,0.82,0,0,0,0,0,0,0,0,0,0,0.14
