stage,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Neurosecretory_cell,T_cell
21Day,0,0,0,0.37,0,0
3Month,0,0.1,0,0.21,0.1,0.1
22Month,0.27,0,0.27,0,0,0
