stage,Epithelial_cell,Granulocyte,Immune_cell,Immune_progenitor_cell,Macrophage,Neural_cell
21Day,0,0,0,0,0,0.37
3Month,0.31,0,0,0,0,0
22Month,0.14,0.14,0.41,0.27,0.27,0
