stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,1,13,1,0,0,0,0,0,5,0,0,0,0,3,6,1,20,0,0,0,0,7,143,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,2.82,1.13,3.95,0,0.56,0,0,0,0,0,0,0,0,0,1.13,5.92,0,14.94,0,0,0,0,8.17,17.19,0.56,0.28,0,11.84,0,0,3.66,0,0.85,0,0,0
21Day,0.74,0.37,19.24,0.37,0.74,0,0.74,0,0,0,0,0,0,0.74,0,4.44,0.74,14.06,0,0,2.59,0,4.44,6.66,0.37,0.37,0,3.7,0.37,0,0.37,0,0.74,0,0,1.11
3Month,0,1.87,24.24,0,0,0.1,0.94,1.14,0.1,0,2.81,0.31,0,0.94,0.42,13.83,2.08,10.51,4.89,0.1,1.56,0.42,0,0.21,0.31,0.31,0,0.21,0.52,3.12,0.1,0,0.1,2.6,0.73,1.04
22Month,0,1.91,8.75,0,0,0,0.82,0.55,1.64,0,6.42,0.14,0.27,0.55,0.41,3.96,2.19,20.5,0.55,0.41,0.82,0,0.27,0.14,0.55,0.27,0.27,0,0.14,1.5,0.41,0.14,0.14,0.68,0,0.41
