stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
72hpf,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0.85,0.28,0.28,1.13,0,0.28,0,0.28,0
21Day,0.37,0.37,3.33,0,0.74,0,0,0,0.37,0,0,1.11,0,2.22,0,0,4.81,0,0,0.37,0,0
3Month,0,0,0,0,0,0.1,0.21,0.1,0,0.31,0,0.1,0,0,0,0.1,0,0.42,0,0,0.1,0.1
22Month,0,0,0,0.14,0,0.27,1.23,0,0,0,0.14,0,0.27,0,0,0.55,0,0.14,0,0,0,0
