stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.85,0,0,0,0,0,0
21Day,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0.37,0.74,0,0,0,0.74,0,0
3Month,0.1,5.93,0.1,0.21,0.21,1.46,0.31,0.31,2.18,0.21,0.52,0.21,0.1,0,0,0.1,0.1,1.77,0,30.27,0.31
22Month,0,0,0,0,0,0.14,0,0,0.14,0,0,0,0,0,0,0,0,0.41,0,0,0.27
