stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.56,0,0.56,0,0,1.41,1.41,0,0,0.28,0,0,0,0.28,0,0
21Day,0,0,0.37,0.37,0,0,0,0.37,0,0.37,0,0,1.11,0,0,1.85,1.11,0,0,0.37,0,0,0.37,0,0,0
3Month,0,0,0.94,0,0.1,0,0,0.94,0.1,0.31,0.1,0.31,0.31,0.21,0,0,0,0.1,0.1,0,0.1,0.52,0,0,0.1,0.21
22Month,0.14,0.14,0.41,0,0,0.14,0.41,4.24,0.14,0.55,0,0.27,0.55,0,0.14,0,0,0.14,0,0.14,0,0.14,0,0,0,0
