stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,160,0,0,1,0,0,0,1,0,0,0,0,1,0,1,5,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
72hpf,98.36,0,0,0.56,0.85,0,0,0,0,0,0,0,0,1.13,0.28,1.69,0,0,0,0,7.33,3.38,0.28,1.13,0,0,0.28,0,0.28,0,0,0
21Day,115.07,0,0.37,1.48,1.48,0.37,0.37,0,0,0,0.37,0,0.37,0.37,0.37,2.96,0,0,0.74,0,3.33,1.85,0.37,1.11,1.48,0,0.37,0.74,0,0,0,0.74
3Month,1.35,0.21,0,0.42,0,0,0.21,0,0.52,0.21,0,0.31,0,0,0.1,0.1,0.1,0,0,0.1,0,0,0.1,0,0,2.91,0,0,0,0.1,0.1,0
22Month,0.14,0,0,0.14,0,0,0,0,0.68,0,0.14,0,0,0,0,0.14,0,0.14,0,0,0,0,0.14,0,0,3.14,0.14,0,0,0,0,0
