stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.56,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,0,4.23,0,1.69,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0.37,0,0,0,0,2.96,0,0,0,0,0,0,0
3Month,0,0,0.21,0.62,0.1,0.31,0.42,41.09,0.52,1.25,0.31,0.1,0.21,0.83,0.21,0.21,0.21,0.1,0.31,0,0,0.73,7.91,0.21,1.46,0.1
22Month,0,0.27,0,0.14,0.27,0,0.96,6.01,0.14,0.14,0,0.14,0.82,0.41,0,0,0,0,0,0.14,0,0,1.5,0,0,0
