stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0.28,0.28,0,0.56,0,0,0,0,0,0.28,0.28,0.28,0.56,0,13.25,1.69,0,0.85,0,0,0,0
21Day,0.74,0,0.37,1.11,0,0,0,0.37,0.37,0,0.37,0.74,1.48,0.37,3.7,1.11,0,0,0,0.37,0,0
3Month,0,0,0.42,0,0.1,0.21,0.1,0,0.1,0.1,0,0,0.31,0,0,0,0.1,0,0.21,0,0.1,0.1
22Month,0,0.27,0,0,0.27,2.05,0,0,0.14,0,0,0.14,0.27,0,0,0,0,0,0,0,0,0
