stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0
72hpf,1.41,0.28,1.13,0,1.13,0,0,0,0,0,0,0,0,0.56,1.41,0.28,3.38,0,0.28,0,0,139.8,3.1,0,0,5.92,0,0,1.41,0.28,0.28,0.28,0,0
21Day,0.74,0,4.07,0,1.11,0.37,0,0.37,0,0.37,0,0,0,0,0,0,11.1,0,0,0.37,0,25.9,2.59,0,0.37,7.4,0.74,0,0.74,0.74,0,0.74,0.37,0
3Month,0,0.1,3.12,0,0,0,0,0.31,0,1.66,0.42,0,1.04,0,0.31,0.31,1.46,0.1,0,0.42,0.21,0.94,0,0,0,0,0.1,17.68,0.1,0.31,0,0,6.97,0.42
22Month,0,0.14,1.5,0.14,0,0,0.14,0.41,0.41,4.92,0.14,0.14,0.82,0.14,0.14,0.27,0.68,0.14,0.27,0,0,0.82,0.14,0.14,0.41,0,0,5.6,0,0,0,0,0,0
