stage,Endothelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,0,6,0,0
72hpf,0,1.41,0,0,0,0,0,0,0,1.13,0.85,0,0
21Day,0,1.11,0,0,0,0,0,0.37,0,0,0,0.37,0
3Month,0,0,0,0.1,0,0,0.1,0,0.21,0,0,0,0.1
22Month,0.14,0,0.14,0,0.27,2.32,0,0,0.14,0,0,0,0
