stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,0,1,30,0,11,0,1,1,0,1,0,0,35,1,0,1,10,0,1,0,0,0,0
72hpf,0.28,0,0,33.26,0,10.71,0,0,0,0,3.38,0,0.56,0.28,1.13,0,1.41,1.41,0,0.28,0,0.28,0.28,0
21Day,0.37,0.37,2.22,104.34,0,108.78,0,0,2.22,0.37,5.55,0,2.22,1.85,1.48,0.37,1.48,0.74,0,0.74,2.59,1.48,0.74,0
3Month,0,0.21,0.31,0,1.04,5.41,2.81,0,0.31,1.87,0.73,0.21,0,0.31,0.21,0,0,0,0,0,0.21,0,0,0.21
22Month,0,0,0,0,0.27,3.28,0.41,0,0.27,0.14,2.19,0,0,0.14,0,0,0,0,0.14,0,0.14,0,0,0.14
