stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,5,1,0,0,0,0,0,0,0,0,2,1,0,2,0,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,1.13,1.69,0,0,0,0,0,0,0,0,0.85,1.41,0,0.85,0,0,6.48,10.15,0.56,0,0,0.28,0,0,4.79,0.28,0,0,0,0
21Day,0,0,0.74,2.22,0,0,0,0,0,0.37,0.37,0.37,0.74,0.37,0.37,0.37,0.37,0,1.85,0.74,0,0,0,0,0.37,0,0,0,0.37,0,0,0.37
3Month,0,0.21,7.7,0.94,0,0.1,0.1,0.52,2.91,0.83,0,1.04,3.85,0.52,0.94,0.83,0,0.21,1.77,0.1,0.83,0,0,0,0.31,11.65,0.21,0,0.21,4.26,104.23,0.21
22Month,0.14,0,3.55,0.14,0.14,0,0,0.14,2.87,0,0,0.41,0.14,0,0.27,0.55,0.14,0,0.55,0,0.27,0.14,0.14,0,0,10.11,0.14,0,0,0.41,0.27,0.14
