stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.28,0,0.56,0.28,0.28,0.56,0,0,0,0
3Month,0.1,0.62,0.1,1.46,0.21,0.21,0.1,0.21,0,0.1,0.1,0,0,0,0.21,31.21,3.12,0.1
22Month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0
