stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,1,0,0,0,1,0,1,2,0,0
72hpf,0,0,0,0,0.28,0,0,0.85,0.28,0.28,0
21Day,0,0.37,0,0,0,0.37,0.74,0,0,0,0
3Month,0.1,0,0,0.1,0,0,0,0,0,0,0.1
22Month,0,0,0.27,0.14,0,0,0,0,0,0,0
