stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0,0.37,0,0.37,0,0,1.48,0,0.37,0,2.96,0.37,0,0,0,0,0,0,0,0
3Month,0,0,0.1,5.51,0,0,0.1,0,0.42,0,1.98,0.21,0,0.52,0,1.46,0.94,1.46,0,0.31,0.1,0.31,0,0,0.21,0,0.62,0.1,0.21
22Month,0.27,0.14,0.14,1.23,0,0.14,0,0.14,0.41,0.68,48.24,0,0,0.27,0,1.09,0.55,0.82,0.96,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0,0,0
