stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,1.85,0,0,0,0,0,0,0,1.48,0.37,0.37,0,0,0,1.11,0,0,0,0,0.37,0,0,0,0,0.37,0,0,0
3Month,0.1,0,2.5,0.1,0.21,0,1.77,0.83,1.35,0.31,1.04,0.62,0.42,0.1,0.1,0.31,0.1,0.1,0.21,0.1,0,0,0.31,44.83,0.1,0,0.1,0.31,56.27,0.62
22Month,0,0.14,0.27,0.14,0.68,0.14,2.05,0.14,0.14,0,0.14,0,0.41,0,0,0,0,0,0,0,0.14,0,0,4.24,0,0.27,0,0,0.14,0.14
