stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,1.13,0,0,0,0,0,0,0,0.28,0,0,0,0.56,0.56,0,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0,0.37,0.37,0,0,0,5.18,0,3.33,5.55,0,0,0,1.11,0.37,0,0.37,0,0,0.37,0,0,0,0,0,0,0,0.37,0,0,0.74
3Month,0,0.1,0.1,1.87,0,0.1,0.1,0.31,12.48,2.6,40.05,0.1,2.08,0,0.73,3.54,0.1,0.21,4.78,0.52,0,0,0.1,0.21,0,0,0.42,2.18,0.1,0,0.21,2.08,1.35
22Month,0,0.41,0,0.96,0,0.27,0,0,28.42,7.24,38.4,0.27,1.23,0.27,0,1.91,0.96,0.14,3.69,0,0,0,0.14,0,0.14,0.14,0,0.55,0,0.14,0,0.14,1.37
