stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,18,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,6.48,3.1,4.51,1.97,5.36,0,0,0,0,0,0,0,0,0,1.41,13.81,2.54,48.76,0,0.28,1.13,0,525.36,48.76,0,0.28,15.22,0.28,0,3.38,0.56,0,0.56,0,0,0
21Day,1.48,0.74,2.96,0.74,3.33,0,0.74,0,1.11,0,0.74,0,1.85,0,0.74,4.44,1.48,36.26,0,0,2.96,0,136.9,14.43,0,0,6.66,3.7,0,0.37,0.37,0.74,0.37,0,0,1.48
3Month,0.1,4.16,1.56,0.1,0,0.21,0.1,0,0.21,0,1.56,0.1,0.1,0.52,0.31,1.46,0.52,15.19,2.91,0.1,0.73,0,14.35,0.21,0.1,0,0,0.31,2.7,0,0,0,0,0.1,0.42,0.21
22Month,0,6.42,0.68,0.27,0,0.14,0.14,0.14,0.14,0.14,4.37,0.14,0.14,0.27,0,1.5,0.27,21.18,0.55,0,1.09,0.14,7.93,0,0,0.27,0,0,2.46,0.27,0,0,0,0,0,0.14
