stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,7.33,0.85,0,10.99,0.85,7.05,0,0.56,0,1.13,0,0,0,0.85,0,1.13,954.62,1.13,11.27,0,0.28,0.28,66.23,28.47,0.28,10.15,0,0,5.36,0.56,0,0.85,0,0,0
21Day,1.85,0.37,0.37,55.13,0.37,1.85,0,0,0,0,0,0,0,0.74,0.74,2.22,69.56,0.74,3.7,0,0,1.48,4.44,1.48,0,2.22,0.37,0,0,0.37,1.11,0.37,0,0,0.74
3Month,0,0.21,0,17.58,0,0,0,0.1,0.31,0.31,0,1.25,0.62,0,0.73,1.25,1.25,0.62,0.31,0.1,0,0.1,0,0.21,0.1,0,0,0.62,0,0,0,0,1.35,0.21,0.83
22Month,0,0.14,0,3.55,0,0,0.14,0,0,0.82,0.14,3.42,0.41,0.14,0.96,0,0.41,0.82,0.82,0,0.14,0,0,0,0,0.14,0.14,0.82,0,0,0,0,0,0,0.41
