stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0.28,0.85,0,0.28,0,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0,0.37,0,0,0,0,0.37,0,0,0.37,0,0.37,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.1,0.21,1.14,0.42,0.52,2.6,0.52,0,2.39,0,0.42,0.52,0.83,0.42,0,0.31,0.1,0,0.1,0.1,0.31,8.43,0.62,3.54
22Month,0,0.14,0,0.27,0.27,0,4.92,0,0,0.68,0,0,0,0.14,0,0.14,0,0,0,0.14,0,0,3.96,0,0.14
