stage,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Oligodendrocyte,Primordial_germ_cell
21Day,0,0,0,0.37,0,0,0,0
3Month,0.21,0.1,0.1,0,0.1,0.1,0.1,0.1
22Month,0,0,0.27,0,0,0,0,0
