stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,10,0,0,1,4,98,0,0,2,0,0,0,0,0,0,0,0
72hpf,1.97,1.13,0,2.54,6.2,0,0,0,0.28,0,0,0,0,0,0.56,2.54,0.56,4.79,0,0,0,58.62,26.49,0.28,0,5.92,0,0,1.69,0.56,0.28,0,0,0
21Day,1.11,0,0,5.18,12.95,0,3.33,0.37,0,0,0,0.74,3.33,0.37,0.37,2.59,1.48,7.4,0,0,0,17.39,9.25,0,0,2.59,2.22,0,0.37,0.74,0.74,0,0,0.37
3Month,0,0.31,0.21,3.54,0,0.1,0.21,0.73,1.66,0,6.24,1.14,0,1.25,0.62,1.04,1.25,0.94,0.52,0.62,0.21,0.42,0.1,0.42,0.31,0.21,0,3.12,0,0,0,0.52,1.04,1.04
22Month,0,0.96,0,1.23,0,0.14,0.14,0.14,1.5,1.09,9.29,0.55,0.82,2.32,0.14,0.41,1.09,1.37,0,0.14,0,0.27,0,0.41,0.68,0,0,0.14,0,0,0,0.14,0,0.68
