stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0.56,0,0,0,0,0,0,0,0,0,0.28,1.41,0,0.28,0,0.56,0,0,0.28,0,0,0,1.13,0,0,0.28,0,0,0,0
21Day,0,0,0.37,3.33,0.37,0.37,0,0,0,0,0,0,0,0,0,0,1.48,0.37,0.74,0,0,0.37,0,0.37,0.37,0,0,0.74,0,0,0,0,0,0,0.37
3Month,0.1,0.21,0.31,12.48,0.1,0,0,1.14,0.21,0,0,17.79,0.94,0,5.41,0.52,6.45,0.73,1.77,1.14,0.1,0.52,0.42,0.21,0,0.31,0.21,0.1,0.94,4.06,0,0,0.1,1.46,1.04
22Month,0,0.14,0.82,2.6,0.41,0,0.14,0.41,0.68,0.14,0,28.56,0.14,0.14,5.88,0.14,0.82,0.27,1.78,0,0.14,0.27,0,0.14,0,0.27,0.14,0.27,0.14,2.46,0,0.14,0,0,0.41
