stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,1.69,0.56,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0,0,1.41,5.07,0,0,0.28,0,0,0,0,0,0,0
21Day,0.37,0,1.48,0,0,0,0,0,0,0.37,0.37,0,0,0.37,0,0,0,0,2.22,11.84,0,0,0,0,0,0,0,0,0,0
3Month,0,0,9.26,0,0,0.1,0,0.1,1.66,0.31,0.1,0.21,2.39,0.42,0,0.52,0.1,1.25,0.21,1.66,0.1,0,0,0.1,5.72,0.31,0.1,0.1,39.94,0.42
22Month,0,0.14,4.51,0,0,0,0.14,0.14,2.73,0.14,0.14,0.55,0,0.41,0.14,0.14,0,0.14,0,0.14,0.14,0.14,0,0,2.87,0.14,0.14,0,0.41,0.14
