stage,Cardiomyocyte,Erythrocyte,Granulocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0
72hpf,0,0.28,0,0,0,0.28,0.28,0.56,2.54,0.56,0,0
21Day,0.37,0.74,0,0.37,0,0,0,1.11,1.11,0.37,0.74,0
3Month,0,0,0.1,0,0.21,0,0,0,0,0,0,0.21
