stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0,1.41,0,0,0,0,0,0,1.13,0,0,0,0,0,0,6.76,0.56,0,0,0
21Day,0,0,4.81,0.37,0,0,0,0,0.37,0,0.37,0,0,0,0.74,1.11,0,0,0.37,0,1.85,0.37,0,1.11,0,2.22,0.37,29.6,4.81,0.37,0,0
3Month,0,0,1.98,0,0.1,0,0.31,0,1.14,0.31,0,0.52,0.1,0.31,0.31,0.52,0.1,0,0,0.1,0,0.1,0,0,0,25.07,0.1,0.21,0,0,2.91,0.21
22Month,0,0.14,0.41,0,0,0.14,0.27,0,1.91,0,0,0.41,0,0,0.14,0.14,0,0.27,0.14,0,0.14,0,0.41,0,0.14,12.3,0,8.2,0,0,0,0
