stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,18,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,5.64,1.13,0,2.54,1.13,3.95,0,0,0,0.56,0,0.28,0,0,0,0,1.41,15.78,0.85,5.36,0,0.56,0.28,0,509.3,13.25,3.95,22.83,0,8.46,0,0,0.28,7.61,0.56,0,0.56,0,0,0
21Day,5.18,1.11,0.37,15.17,1.85,11.47,1.11,0,0,0,0,0,0.37,0,1.48,2.22,2.22,13.32,2.22,18.13,0,0,1.11,0,390.71,7.03,1.48,15.54,0,4.81,10.73,0,0.74,10.73,2.59,4.44,1.11,0,0.37,1.48
3Month,0.31,1.56,0.1,5.41,1.14,0,0,0.1,0.62,0.83,0,0,4.58,1.14,0.31,1.56,0.62,6.24,0.62,10.92,0.73,0,0.1,0.62,9.05,0.62,11.96,1.25,0,0.31,0.1,0.1,24.03,0.42,0.62,0.1,0.21,0.83,1.77,1.14
22Month,0,1.09,0,4.37,0.96,0,0,0,0.41,0.82,0.82,0,17.22,0.27,0.14,2.05,0,0.55,1.23,4.92,0,0.55,0.14,0,13.39,0.14,7.24,2.87,0.14,0.14,0.27,0,21.73,3.01,0.27,0,0.82,0.14,0.14,0.14
