stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte
72hpf,0,0.28,0,0.56,0,0,0,0,0,0.28,0,0.28,0,2.25,0.28,0,0,0,0,0
21Day,0,1.11,0.37,0,0,0,0,0.37,0,0,0,0,0,2.59,0.37,0.37,0,0.37,0.74,0
3Month,0.21,0,0,0,0.1,0.1,0.94,0,0.1,0.31,0.1,0,0,0,0,0,0.21,0,0,0.1
22Month,0,0,0,0,0,0,1.09,0,0,0,0.14,0,0.14,0,0,0,0,0,0,0
