stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0.28,0,1.13,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,1.85,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0
3Month,0.21,7.28,0.62,0.31,0,0.1,0.31,0,0.52,0.83,0.1,0.31,0,0.1,0.1,0.1,0,0.1,0.21,0,0,0.1,0.31,0,0.1,0.1,0
22Month,0,29.52,0.55,0,0.14,0,0.14,0.14,5.6,4.92,0.27,0.14,0.14,0,0.27,1.09,0.14,0,0.14,0,0.14,0,0.96,0.14,0,0,0.14
