stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,8.46,1.97,0,0,0,0.56,0,0.56,0,0,0,0
21Day,0,0,0,0.74,0.74,0.74,0,0,0,0,0,0.37,0,0,0,0,1.11,0,0,2.59,0.74,0,0,0,0,0,0,0,0,0,0
3Month,0,0.31,0.1,2.18,0.1,0,0.1,0.62,0,2.08,0.21,0.1,0.83,0.21,0.62,1.04,0.42,0.31,0.21,0.31,0,0.1,0.21,0,0,2.5,0.21,0,0.21,1.87,0.73
22Month,0,0.14,0,0.41,0.14,0,0,0.14,0.41,4.65,0.27,0,0.41,0,0,0.27,0.82,0,0.14,0,0,0,0,0.14,0,0.68,0.14,0.14,0,0,0
