stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
72hpf,5.07,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0.28,0,2.54,0,1.13,1.41,0,0,0,0,0,0,0,0,0,0
21Day,5.92,0,0,1.48,0,4.07,0,1.48,0,0,0,9.99,0,1.85,0.37,0,0.37,0.74,4.44,0,0,0.37,1.85,0.74,0,0,0.74,2.22,0,0.74,0.74,0,0,0.74
3Month,0.21,0.1,0.1,1.35,0.1,0,0.21,0,0.31,0.73,0.1,87.69,0.42,0.21,2.08,0.42,0.62,0.42,0.42,0.31,0,0,0.21,0,0,0.1,0.1,1.56,0.42,0,0,0.21,0.21,0.52
22Month,0,0.41,0.14,0.41,0.14,0,0.14,0,0.14,1.37,0.14,176.82,1.09,0.27,0.96,0.14,0.14,0.68,0.27,0,7.52,0.14,0.41,0.14,0.14,0,0.14,0.55,0.14,0,0,0,0,0.55
