stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,0,0,2,59,0,0,0,0,0,0,1,0,0,0
72hpf,1.13,0,0.85,0.28,0.28,0,0,0,0,0,0,0.28,0,0.56,1.69,0.56,1.69,0,0.28,0,0,37.77,16.91,0,0,1.41,0,0,1.13,0,0,0,0
21Day,0.74,0,4.07,0,0.74,0,0,0.37,0,0,0.37,1.11,1.11,0.37,1.85,0.74,3.33,0,0,0,0,13.32,5.18,0.37,0,0.37,1.11,0,2.22,0,0,0,0.37
3Month,0,0.31,3.12,0,0,0.21,0.52,0.31,0,4.26,0.62,0.21,1.14,0.31,0.73,0.83,0.83,0.1,0,0.1,0.1,0,0.21,0.31,0,0,0.31,3.64,0.1,0,0.31,0.94,0.94
22Month,0.14,0.14,1.23,0.14,0,0,0,0.82,0.41,10.66,0.27,0.27,1.91,0.14,0.27,0.55,1.09,0.14,0.14,0.27,0.14,0,0,0,0.14,0,0.14,0.96,0.14,0.14,0,0,0.41
