stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0.28,0,0,0,0
21Day,0.37,0.37,0,4.07,0.37,0,0,0,0,0,0,0.37,0.37,1.11,0.37,1.11,0,0,0,0,1.11,0.37,0,0,0.74,0,0,0.37,0,0,0,0
3Month,0,0.62,0.1,5.62,0,0.1,0.21,1.04,0,4.99,1.25,2.5,0.21,2.29,1.56,1.04,0.21,0,0.1,0.1,0,0,0.1,0,0.1,0.21,1.46,0,0.1,0.52,4.68,1.56
22Month,0,0.14,0,0.41,0,0.14,0.41,0.82,0.82,9.29,0.41,1.64,0,0.55,1.09,1.37,0,0.68,0,0,0.14,0.27,0.14,0.14,0.14,0,0.82,0,0,0,0,0.41
