stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,9,1,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.69,0.28,0,0,0,0,0,0,1.13,0,0,0.28,31,2.82,0.85,1.41,0,18.88,0,4.79,2.54,5.07,0,0.28,0,0.56,0.28,0,0,0,0,0,0,0,0
21Day,3.33,0.37,13.69,14.43,4.81,0,0,0,1.11,0,0,72.52,1.11,3.33,34.04,1.85,9.62,6.66,11.84,0,0.74,1.11,5.18,15.54,4.81,1.11,0,0,4.07,8.88,0,0,0.74,1.11,1.85,0,0,0.37
3Month,0.21,1.66,8.84,23.3,0,1.77,0.21,8.32,14.87,0,0,631.8,27.98,0.73,125.86,3.02,4.78,24.13,7.07,1.56,1.25,2.39,107.35,0.62,0.1,4.89,1.04,0,0.42,6.97,0.1,2.6,0.62,0,0,1.46,1.87,3.12
22Month,0.14,0.82,8.06,8.06,0,0.96,0,6.29,22.14,0.96,0,578.16,9.16,2.19,108.64,0.27,0.41,19.95,4.1,0.14,7.93,1.5,2.6,0.41,0.14,3.14,1.09,0.96,0,0.27,0,0.68,0.14,0.27,0,0,0,0.96
