stage,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0.85,0,0,0,0,0,0,0
21Day,1.11,0.37,0,0,0,0,0,0,0,0.37,0.37,0,0,0.37,0.37,0,0,0,0,0,0.37
3Month,0.42,0,0.1,0,0.1,0.21,0.1,0,0.1,0,0,0.1,0.1,0,0,0.1,3.02,0.1,0.21,0.31,0
22Month,0.68,0,0,0.14,0.27,1.09,0,0.27,0.27,0,0.14,0.27,0.14,0,0,0,2.05,0,0,0,0.41
