stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,3,1,0,0,0,0,0,0,11,0,0,0,7,0,0,0,0,0,0
72hpf,0.85,0,0,0,0,0,0,0.28,0.56,0,0.28,0.56,0.85,0.56,0,0,1.13,0,0
21Day,0.37,0,0,0,0,0,0,0,1.11,0,0,0.74,0.37,0.37,0,0,0.74,0,0
3Month,0.1,0,0.1,0.21,0.1,0.42,0.31,0,0.42,0,0,0.21,0,0,0.21,1.77,0,0.52,0.1
22Month,0,0,0,0,0,0.68,0.14,0,0,0.14,0,0,0,0,0,1.09,0,0,0
