stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.85,3.66,0,0,0,0,0,3.38,0.56,0,0.56,0,0,0,0,0,0
21Day,0,0,2.96,0.37,0,0,0,0,0,0,0,7.03,0,0,0,0,0,0.74,0,0,0.37,0,0,0,0,0,0
3Month,0.1,0.1,1.77,0,0.62,0.42,0,6.76,0.21,3.64,0.1,0.42,1.14,0.62,0.1,0.31,0.21,0.1,0,0.1,0,0.21,0.31,0.1,0.21,0.1,0.62
22Month,0,0.14,1.23,0,0.14,0.14,0.14,1.37,0.14,1.91,0,0,0.41,0.14,0.14,0.27,0,0,0,0,0,0,0.14,0,0,0,0.14
