stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,2,0,0,0,0,0,0,0
72hpf,0,0,0,1.13,0.28,0.28,0,0,0,0,0,0,0,31.85,0,0.28,0,0,0,0.85,0,0,0.28,0,0,0,0,0
21Day,0.74,0,0,11.84,0,0,0,0,0,0,0.37,0.37,1.48,19.61,0.37,0.37,0,0.37,0,0.37,0,0,0,0,0,0,0,0
3Month,0,0,0,20.49,0,0,0.83,0.1,0.94,0.21,0.31,1.04,0.94,0.21,0.31,0.1,0,0,0.1,0.21,0,0,1.77,0,0.1,0,1.77,0.42
22Month,0,0.27,0.27,5.88,0.14,0,0,0,3.42,0.14,0.27,0.96,0.14,0.14,0.41,0.55,0.14,0,0,0.27,0.14,0.14,0.14,0.14,0,0.14,0,0.14
