stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,6.2,2.82,0,7.33,2.82,12.12,1.13,0,0.28,0,0,0.28,4.23,24.8,2.25,38.05,0.56,1.41,0.85,131.62,60.88,0.28,0.85,27.06,0.28,0,9.86,1.41,0.28,2.82,0,0
21Day,12.58,1.11,1.85,45.88,2.59,26.64,4.81,0.37,2.22,8.88,14.06,4.81,2.22,24.79,7.03,68.82,0,8.14,0.74,57.72,25.53,0.74,1.48,22.57,11.84,1.11,5.18,2.96,8.88,1.85,0,10.73
3Month,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0
