stage,Epithelial_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Macrophage,Neural_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,0.85,0,0.28,0,0,0
21Day,0,0,0,0,0,0.37,0,0,0,0,0
3Month,0.1,0,0,0,0.1,0,0.1,0,0,0.83,1.25
22Month,0,0.14,0.14,0.27,0.14,0,0,0,0.14,0.55,0
