stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,56,1,0,0,0,0,0,0,0,0
72hpf,2.25,0,0.28,0.56,1.13,0,0,0,0,0,0,0,0,0,1.97,0,1.13,0.28,119.5,34.67,0,1.41,0,0,2.25,0,0.28,0,0
21Day,1.85,0,1.11,0,1.48,0,0,0,0,0,0,0.37,0,0,1.48,0.37,1.85,0.37,58.83,14.8,0,0.37,2.22,0.37,1.11,0.37,0.37,0,0.74
3Month,0,0,0.83,0.1,0,0.21,0.1,0,0,2.7,0.21,0,0.42,0,0,0.21,0.31,0,0.1,0,0.21,0.1,0.1,0.62,0,0,0,0.52,0.1
22Month,0,0.27,0.14,0,0,0.14,0.27,0.14,0,7.52,0.55,0.14,0.55,0,0.14,0.41,0.55,0,0,0,0.14,0.14,0,0.55,0,0.14,0,0,0.27
