stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0,0.56,0,0,0,0.56,0,0.28,0,0,0
21Day,0,0,0,0.74,0,0,0,0,0,0.37,0,0,1.85,0.37,1.48,0,0,0,0.37,0,0,0.37
3Month,0,0,0.1,0.62,0,0,0,0.31,0.21,0.1,0.21,0,0.21,0,0.1,0,0,0,0,0,0.21,0.62
22Month,0,0.55,0.14,1.09,0,0.14,0.27,1.23,3.28,0,4.51,0.14,0.55,0.41,0.68,0.14,0,0,0,0.14,0,0
