stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,0,0.28,0,0,0,0,21.14,2.54,0,0,0.56,0,0,0,0,0,0,0
21Day,0,0,0,0.74,0,0,0,0,0,0,0,0,0.37,0,0,0.37,0,0.74,0,0,0.37,0,9.62,1.11,0,0,0.74,0.74,0.74,0,0,0,0.37,0
3Month,0.1,0.31,0.31,6.87,0.21,0.1,0.21,0.52,1.56,0.1,7.59,1.98,0.42,3.22,0.42,2.7,1.46,1.98,0.31,0,0.42,1.04,1.66,0.1,0.1,0.42,0.1,1.46,159.98,0.1,0.1,1.35,193.37,1.04
22Month,0,0.27,0.14,0.68,0.27,0,0,0.27,0.27,0.27,9.16,0.27,0.14,0.96,0.14,0.14,0.68,0.55,0,0.27,0,0,1.09,0,0,0.14,0.14,0,9.7,0.27,0,0,1.23,0.27
